"id";"movement_speed";"displacement";"number_users";"is_hard_locked";"is_endpoint";"created_at";"active";"rack_id"
1;3.334;3.334;1;0;0;"2023-07-12 13:30:51.000000";1;1
2;12.999;16.333;1;0;0;"2023-07-12 13:30:52.000000";1;1
3;14.995;31.327;1;0;0;"2023-07-12 13:30:53.000000";1;1
4;15.011;46.338;1;0;0;"2023-07-12 13:30:54.000000";1;1
5;15.001;61.339;1;0;0;"2023-07-12 13:30:55.000000";1;1
6;4.978;64.0;1;0;1;"2023-07-12 13:30:56.000000";1;1
7;0.0;64.0;1;0;1;"2023-07-12 13:30:57.000000";1;1
8;0.0;64.0;1;0;1;"2023-07-12 13:31:16.000000";1;1
9;3.336;3.336;1;0;0;"2023-07-12 13:38:01.000000";1;1
10;13.002;16.338;1;0;0;"2023-07-12 13:38:02.000000";1;1
11;14.999;31.337;1;0;0;"2023-07-12 13:38:03.000000";1;1
12;15.002;46.339;1;0;0;"2023-07-12 13:38:04.000000";1;1
13;14.999;61.338;1;0;0;"2023-07-12 13:38:05.000000";1;1
14;4.979;64.0;1;0;1;"2023-07-12 13:38:06.000000";1;1
15;0.0;64.0;1;0;1;"2023-07-12 13:38:07.000000";1;1
16;3.332;3.332;1;0;0;"2023-07-12 13:42:25.000000";1;1
17;12.995;16.327;1;0;0;"2023-07-12 13:42:26.000000";1;1
18;15.0;31.327;1;0;0;"2023-07-12 13:42:27.000000";1;1
19;14.963;46.289;1;0;0;"2023-07-12 13:42:28.000000";1;1
20;15.0;61.289;1;0;0;"2023-07-12 13:42:29.000000";1;1
21;5.009;64.0;1;0;1;"2023-07-12 13:42:30.000000";1;1
22;0.0;64.0;1;0;1;"2023-07-12 13:42:31.000000";1;1
23;3.333;3.333;1;0;0;"2023-07-12 19:40:01.000000";1;1
24;13.0;16.333;1;0;0;"2023-07-12 19:40:02.000000";1;1
25;15.001;31.333;1;0;0;"2023-07-12 19:40:03.000000";1;1
26;14.999;46.332;1;0;0;"2023-07-12 19:40:04.000000";1;1
27;15.0;61.332;1;0;0;"2023-07-12 19:40:05.000000";1;1
28;5.002;64.0;1;0;0;"2023-07-12 19:40:06.000000";1;1
29;4.999;59.001;1;0;0;"2023-07-12 19:40:07.000000";1;1
30;12.503;46.499;1;0;0;"2023-07-12 19:40:08.000000";1;1
31;15.01;31.488;1;0;0;"2023-07-12 19:40:09.000000";1;1
32;15.034;16.454;1;0;0;"2023-07-12 19:40:10.000000";1;1
33;14.995;1.459;1;0;0;"2023-07-12 19:40:11.000000";1;1
34;3.38;0.0;1;0;1;"2023-07-12 19:40:12.000000";1;1
35;0.0;0.0;1;0;1;"2023-07-12 19:40:13.000000";1;1
36;3.333;3.333;1;0;0;"2023-07-12 19:42:22.000000";1;1
37;13.0;16.334;1;0;0;"2023-07-12 19:42:23.000000";1;1
38;14.999;31.332;1;0;0;"2023-07-12 19:42:24.000000";1;1
39;15.002;46.335;1;0;0;"2023-07-12 19:42:25.000000";1;1
40;14.946;61.281;1;0;0;"2023-07-12 19:42:26.000000";1;1
41;5.002;64.0;1;0;0;"2023-07-12 19:42:27.000000";1;1
42;5.033;58.967;1;0;0;"2023-07-12 19:42:28.000000";1;1
43;12.502;46.464;1;0;0;"2023-07-12 19:42:29.000000";1;1
44;15.002;31.462;1;0;0;"2023-07-12 19:42:30.000000";1;1
45;15.003;16.459;1;0;0;"2023-07-12 19:42:31.000000";1;1
46;15.019;1.44;1;0;0;"2023-07-12 19:42:32.000000";1;1
47;3.366;0.0;1;0;1;"2023-07-12 19:42:33.000000";1;1
48;0.0;0.0;1;0;1;"2023-07-12 19:42:34.000000";1;1
49;3.328;3.328;1;0;0;"2023-07-12 19:43:24.000000";1;1
50;12.97;16.298;1;0;0;"2023-07-12 19:43:25.000000";1;1
51;14.982;31.28;1;0;0;"2023-07-12 19:43:26.000000";1;1
52;14.98;46.26;1;0;0;"2023-07-12 19:43:27.000000";1;1
53;14.982;61.242;1;0;0;"2023-07-12 19:43:28.000000";1;1
54;4.96;64.0;1;0;0;"2023-07-12 19:43:29.000000";1;1
55;5.036;58.964;1;0;0;"2023-07-12 19:43:30.000000";1;1
56;12.501;46.464;1;0;0;"2023-07-12 19:43:31.000000";1;1
57;14.995;31.469;1;0;0;"2023-07-12 19:43:32.000000";1;1
58;15.0;16.469;1;0;0;"2023-07-12 19:43:33.000000";1;1
59;15.01;1.459;1;0;0;"2023-07-12 19:43:34.000000";1;1
60;3.333;0.0;1;0;1;"2023-07-12 19:43:35.000000";1;1
61;0.0;0.0;1;0;1;"2023-07-12 19:43:36.000000";1;1
62;3.334;3.334;1;0;0;"2023-07-12 19:44:25.000000";1;1
63;13.033;16.366;1;0;0;"2023-07-12 19:44:26.000000";1;1
64;14.995;31.362;1;0;0;"2023-07-12 19:44:27.000000";1;1
65;15.002;46.364;1;0;0;"2023-07-12 19:44:28.000000";1;1
66;15.05;61.414;1;0;0;"2023-07-12 19:44:29.000000";1;1
67;5.001;64.0;1;0;0;"2023-07-12 19:44:30.000000";1;1
68;4.951;59.049;1;0;0;"2023-07-12 19:44:31.000000";1;1
69;12.534;46.515;1;0;0;"2023-07-12 19:44:32.000000";1;1
70;15.039;31.476;1;0;0;"2023-07-12 19:44:33.000000";1;1
71;15.002;16.474;1;0;0;"2023-07-12 19:44:34.000000";1;1
72;14.983;1.491;1;0;0;"2023-07-12 19:44:35.000000";1;1
73;3.293;0.0;1;0;1;"2023-07-12 19:44:36.000000";1;1
74;0.0;0.0;1;0;1;"2023-07-12 19:44:37.000000";1;1
75;3.314;3.314;1;0;0;"2023-07-12 19:45:18.000000";1;1
76;13.002;16.317;1;0;0;"2023-07-12 19:45:19.000000";1;1
77;15.0;31.316;1;0;0;"2023-07-12 19:45:20.000000";1;1
78;15.003;46.319;1;0;0;"2023-07-12 19:45:21.000000";1;1
79;15.01;61.329;1;0;0;"2023-07-12 19:45:22.000000";1;1
80;5.032;64.0;1;0;0;"2023-07-12 19:45:23.000000";1;1
81;4.994;59.006;1;0;0;"2023-07-12 19:45:24.000000";1;1
82;12.495;46.51;1;0;0;"2023-07-12 19:45:25.000000";1;1
83;15.0;31.51;1;0;0;"2023-07-12 19:45:26.000000";1;1
84;14.995;16.515;1;0;0;"2023-07-12 19:45:27.000000";1;1
85;15.029;1.486;1;0;0;"2023-07-12 19:45:28.000000";1;1
86;3.328;0.0;1;0;1;"2023-07-12 19:45:29.000000";1;1
87;0.0;0.0;1;0;1;"2023-07-12 19:45:30.000000";1;1
88;3.315;3.315;1;0;0;"2023-07-12 19:46:55.000000";1;1
89;13.0;16.315;1;0;0;"2023-07-12 19:46:56.000000";1;1
90;14.999;31.314;1;0;0;"2023-07-12 19:46:57.000000";1;1
91;15.001;46.314;1;0;0;"2023-07-12 19:46:58.000000";1;1
92;14.968;61.283;1;0;0;"2023-07-12 19:46:59.000000";1;1
93;5.027;64.0;1;0;0;"2023-07-12 19:47:00.000000";1;1
94;4.995;59.005;1;0;0;"2023-07-12 19:47:01.000000";1;1
95;12.495;46.511;1;0;0;"2023-07-12 19:47:02.000000";1;1
96;15.041;31.47;1;0;0;"2023-07-12 19:47:03.000000";1;1
97;15.0;16.47;1;0;0;"2023-07-12 19:47:04.000000";1;1
98;14.981;1.489;1;0;0;"2023-07-12 19:47:05.000000";1;1
99;3.344;0.0;1;0;1;"2023-07-12 19:47:06.000000";1;1
100;0.0;0.0;1;0;1;"2023-07-12 19:47:07.000000";1;1
101;3.293;3.293;1;0;0;"2023-07-12 19:47:24.000000";1;1
102;13.01;16.304;1;0;0;"2023-07-12 19:47:25.000000";1;1
103;15.04;31.343;1;0;0;"2023-07-12 19:47:26.000000";1;1
104;15.024;46.368;1;0;0;"2023-07-12 19:47:27.000000";1;1
105;14.979;61.347;1;0;0;"2023-07-12 19:47:28.000000";1;1
106;5.0;64.0;1;0;0;"2023-07-12 19:47:29.000000";1;1
107;5.001;58.999;1;0;0;"2023-07-12 19:47:30.000000";1;1
108;12.501;46.499;1;0;0;"2023-07-12 19:47:31.000000";1;1
109;14.995;31.504;1;0;0;"2023-07-12 19:47:32.000000";1;1
110;14.999;16.505;1;0;0;"2023-07-12 19:47:33.000000";1;1
111;15.027;1.478;1;0;0;"2023-07-12 19:47:34.000000";1;1
112;3.334;0.0;1;0;1;"2023-07-12 19:47:35.000000";1;1
113;0.0;0.0;1;0;1;"2023-07-12 19:47:36.000000";1;1
114;3.363;3.363;1;0;0;"2023-07-12 19:47:43.000000";1;1
115;13.002;16.366;1;0;0;"2023-07-12 19:47:44.000000";1;1
116;14.995;31.361;1;0;0;"2023-07-12 19:47:45.000000";1;1
117;14.995;46.356;1;0;0;"2023-07-12 19:47:46.000000";1;1
118;15.027;61.383;1;0;0;"2023-07-12 19:47:47.000000";1;1
119;4.978;64.0;1;0;0;"2023-07-12 19:47:48.000000";1;1
120;5.0;59.0;1;0;0;"2023-07-12 19:47:49.000000";1;1
121;12.501;46.5;1;0;0;"2023-07-12 19:47:50.000000";1;1
122;15.009;31.491;1;0;0;"2023-07-12 19:47:51.000000";1;1
123;14.971;16.519;1;0;0;"2023-07-12 19:47:52.000000";1;1
124;14.994;1.525;1;0;0;"2023-07-12 19:47:53.000000";1;1
125;3.343;0.0;1;0;1;"2023-07-12 19:47:54.000000";1;1
126;0.0;0.0;1;0;1;"2023-07-12 19:47:55.000000";1;1
127;3.336;3.336;1;0;0;"2023-07-12 19:52:27.000000";1;1
128;13.0;16.336;1;0;0;"2023-07-12 19:52:28.000000";1;1
129;15.001;31.336;1;0;0;"2023-07-12 19:52:29.000000";1;1
130;15.003;46.339;1;0;0;"2023-07-12 19:52:31.000000";1;1
131;3.333;3.333;1;0;0;"2023-07-12 19:58:34.000000";1;1
132;13.002;16.335;1;0;0;"2023-07-12 19:58:35.000000";1;1
133;15.034;31.369;1;0;0;"2023-07-12 19:58:36.000000";1;1
134;15.002;46.372;1;0;0;"2023-07-12 19:58:37.000000";1;1
135;15.0;61.371;1;0;0;"2023-07-12 19:58:38.000000";1;1
136;4.961;64.0;1;0;1;"2023-07-12 19:58:39.000000";1;1
137;0.0;64.0;1;0;1;"2023-07-12 19:58:40.000000";1;1
138;0.0;0.0;1;0;1;"2023-07-12 20:00:29.000000";1;1
139;3.328;3.328;1;0;0;"2023-07-12 20:01:06.000000";1;1
140;12.956;16.284;1;0;0;"2023-07-12 20:01:07.000000";1;1
141;15.0;31.284;1;0;0;"2023-07-12 20:01:08.000000";1;1
142;14.946;46.23;1;0;0;"2023-07-12 20:01:09.000000";1;1
143;14.999;61.229;1;0;0;"2023-07-12 20:01:10.000000";1;1
144;5.002;64.0;1;0;1;"2023-07-12 20:01:11.000000";1;1
145;0.0;64.0;1;0;1;"2023-07-12 20:01:12.000000";1;1
146;4.983;59.017;1;0;0;"2023-07-12 20:01:17.000000";1;1
147;12.495;46.522;1;0;0;"2023-07-12 20:01:18.000000";1;1
148;15.002;31.52;1;0;0;"2023-07-12 20:01:19.000000";1;1
149;15.029;16.491;1;0;0;"2023-07-12 20:01:20.000000";1;1
150;15.011;1.481;1;0;0;"2023-07-12 20:01:21.000000";1;1
151;3.35;0.0;1;0;1;"2023-07-12 20:01:22.000000";1;1
152;0.0;0.0;1;0;1;"2023-07-12 20:01:23.000000";1;1
153;3.343;3.343;1;0;0;"2023-07-12 20:01:28.000000";1;1
154;13.032;16.375;1;0;0;"2023-07-12 20:01:29.000000";1;1
155;14.982;31.357;1;0;0;"2023-07-12 20:01:30.000000";1;1
156;15.011;46.368;1;0;0;"2023-07-12 20:01:31.000000";1;1
157;15.036;61.404;1;0;0;"2023-07-12 20:01:32.000000";1;1
158;5.001;64.0;1;0;0;"2023-07-12 20:01:41.000000";1;1
159;5.002;58.998;1;0;0;"2023-07-12 20:01:42.000000";1;1
160;12.495;46.502;1;0;0;"2023-07-12 20:01:43.000000";1;1
161;15.025;31.477;1;0;0;"2023-07-12 20:01:44.000000";1;1
162;14.995;16.482;1;0;0;"2023-07-12 20:01:45.000000";1;1
163;14.994;1.487;1;0;0;"2023-07-12 20:01:46.000000";1;1
164;3.332;0.0;1;0;1;"2023-07-12 20:01:47.000000";1;1
165;0.0;0.0;1;0;1;"2023-07-12 20:01:48.000000";1;1
166;3.336;3.336;1;0;0;"2023-07-12 20:09:46.000000";1;1
167;12.975;16.311;1;0;0;"2023-07-12 20:09:47.000000";1;1
168;15.034;31.345;1;0;0;"2023-07-12 20:09:48.000000";1;1
169;14.96;46.305;1;0;0;"2023-07-12 20:09:49.000000";1;1
170;14.982;61.287;1;0;0;"2023-07-12 20:09:50.000000";1;1
171;4.983;64.0;1;0;0;"2023-07-12 20:09:51.000000";1;1
172;4.995;59.005;1;0;0;"2023-07-12 20:09:52.000000";1;1
173;12.499;46.506;1;0;0;"2023-07-12 20:09:53.000000";1;1
174;15.0;31.506;1;0;0;"2023-07-12 20:09:54.000000";1;1
175;15.001;16.506;1;0;0;"2023-07-12 20:09:55.000000";1;1
176;15.0;1.506;1;0;0;"2023-07-12 20:09:56.000000";1;1
177;3.344;0.0;1;0;1;"2023-07-12 20:09:57.000000";1;1
178;0.0;0.0;1;0;1;"2023-07-12 20:09:58.000000";1;1
179;3.332;3.332;1;0;0;"2023-07-12 21:56:45.000000";1;1
180;13.001;16.333;1;0;0;"2023-07-12 21:56:46.000000";1;1
181;15.032;31.365;1;0;0;"2023-07-12 21:56:47.000000";1;1
182;15.04;46.405;1;0;0;"2023-07-12 21:56:48.000000";1;1
183;15.001;61.405;1;0;0;"2023-07-12 21:56:49.000000";1;1
184;4.948;64.0;1;0;1;"2023-07-12 21:56:50.000000";1;1
185;0.0;64.0;1;0;1;"2023-07-12 21:56:51.000000";1;1
186;0.0;0.0;1;0;1;"2023-07-21 21:39:00.000000";1;1
187;3.336;3.336;1;0;0;"2023-07-21 21:39:10.000000";1;1
188;12.959;16.295;1;0;0;"2023-07-21 21:39:11.000000";1;1
189;14.999;31.293;1;0;0;"2023-07-21 21:39:12.000000";1;1
190;14.981;46.274;1;0;0;"2023-07-21 21:39:13.000000";1;1
191;14.979;61.253;1;0;0;"2023-07-21 21:39:14.000000";1;1
192;4.979;64.0;1;0;1;"2023-07-21 21:39:15.000000";1;1
193;0.0;64.0;1;0;1;"2023-07-21 21:39:16.000000";1;1
194;5.001;58.999;1;0;0;"2023-07-21 21:39:22.000000";1;1
195;12.527;46.473;1;0;0;"2023-07-21 21:39:23.000000";1;1
196;14.983;31.49;1;0;0;"2023-07-21 21:39:24.000000";1;1
197;15.0;16.49;1;0;0;"2023-07-21 21:39:25.000000";1;1
198;15.0;1.49;1;0;0;"2023-07-21 21:39:26.000000";1;1
199;3.333;0.0;1;0;1;"2023-07-21 21:39:27.000000";1;1
200;0.0;0.0;1;0;1;"2023-07-21 21:39:28.000000";1;1
201;3.333;3.333;1;0;0;"2023-07-21 21:39:42.000000";1;1
202;12.995;16.329;1;0;0;"2023-07-21 21:39:43.000000";1;1
203;14.999;31.327;1;0;0;"2023-07-21 21:39:44.000000";1;1
204;15.003;46.33;1;0;0;"2023-07-21 21:39:45.000000";1;1
205;15.035;61.365;1;0;0;"2023-07-21 21:39:46.000000";1;1
206;5.0;64.0;1;0;0;"2023-07-21 21:39:47.000000";1;1
207;5.0;59.0;1;0;0;"2023-07-21 21:39:58.000000";1;1
